team_name,org_name,sil_name,headcount
건축영업2팀,건축사업본부,건축영업실,14
도시정비추진2팀,건축사업본부,도시정비추진실,14
부동산컨설팅팀,자산관리사업본부,자산개발실,14
자산품질안전팀,자산관리사업본부,자산기획실,14
FM솔루션팀,자산관리사업본부,자산사업실,14
건축외주팀,구매본부,외주실,14
경영분석팀,재경본부,경영관리실,14
운영점검1팀,전략기획본부,운영개선실,14
주택사업추진1팀,건축사업본부,주택사업추진실,13
주택사업추진2팀,건축사업본부,주택사업추진실,13
안전보건협력팀,안전품질본부,안전보건관리실,13
회계팀,재경본부,재무관리실,13
홍보팀,전략기획본부,커뮤니케이션실,13
ICT팀,경영지원본부,ICT플랫폼실,13
국내법무팀,경영지원본부,법무실,13
해외법무팀,경영지원본부,법무실,13
건축분양팀,건축사업본부,(본부 직속),12
특화설계팀,건축사업본부,건축디자인실,12
건축수행1팀,건축사업본부,건축수행실,12
건축수행3팀,건축사업본부,건축수행실,12
인프라수행팀,건축사업본부,주택인프라수행실,12
자산해외사업팀,자산관리사업본부,자산사업실,12
품질진단팀,안전품질본부,안전품질지원실,12
품질경영팀,안전품질본부,품질혁신실,12
건축예산관리팀,재경본부,사업관리실,12
플랜트예산관리팀,재경본부,사업관리실,12
재정팀,재경본부,재무관리실,12
운영점검2팀,전략기획본부,운영개선실,12
화공영업1팀,플랜트사업본부,화공영업실,11
건축설계관리팀,건축사업본부,건축디자인실,11
도시정비추진1팀,건축사업본부,도시정비추진실,11
S&D영업팀,자산관리사업본부,자산개발실,11
기술용역외주팀,구매본부,외주실,11
MI전략팀,전략기획본부,마케팅전략실,11
에너지영업1팀,플랜트사업본부,에너지영업실,10
에너지영업3팀,플랜트사업본부,에너지영업실,10
건축해외영업1팀,건축사업본부,건축글로벌영업실,10
하우징설계팀,건축사업본부,건축디자인실,10
건축안전팀,건축사업본부,건축수행관리실,10
주택사업추진3팀,건축사업본부,주택사업추진실,10
자산관리1팀,자산관리사업본부,자산사업실,10
플랜트외주팀,구매본부,외주실,10
정보보호부문,사장직속,(본부 직속),10
건축해외영업2팀,건축사업본부,건축글로벌영업실,9
건축영업1팀,건축사업본부,건축영업실,9
자산기획팀,자산관리사업본부,자산기획실,9
상생협력팀,구매본부,구매전략실,9
투명경영지원팀,재경본부,경영관리실,9
세무팀,재경본부,재무관리실,9
정책지원팀,전략기획본부,커뮤니케이션실,9
건축RM팀,건축사업본부,건축기획실,8
건축예산팀,건축사업본부,건축기획실,8
건축공정팀,건축사업본부,건축수행관리실,8
데이터센터영업팀,건축사업본부,건축영업실,8
도시정비추진3팀,건축사업본부,도시정비추진실,8
주택수행3팀,건축사업본부,주택인프라수행실,8
S&D수행팀,자산관리사업본부,자산개발실,8
자산관리4팀,자산관리사업본부,자산사업실,8
글로벌소싱팀,구매본부,구매전략실,8
경영전략팀,전략기획본부,경영전략실,8
리더십지원팀,경영지원본부,HR운영실,8
AI연구팀,HMG건설기술연구원,스마트건설연구실,8
에너지시스템연구팀,HMG건설기술연구원,차세대에너지연구실,8
플랜트예산팀,플랜트사업본부,플랜트기획실,7
건축해외영업3팀,건축사업본부,건축글로벌영업실,7
건축조경팀,건축사업본부,건축기술실,7
건축CS팀,건축사업본부,건축수행실,7
자산관리2팀,자산관리사업본부,자산사업실,7
구매기획팀,구매본부,구매전략실,7
재경기획팀,재경본부,경영관리실,7
PF팀,재경본부,재무관리실,7
경영기획팀,전략기획본부,경영전략실,7
수주전략팀,전략기획본부,경영전략실,7
비전디자인팀,전략기획본부,마케팅전략실,7
지속가능경영팀,전략기획본부,마케팅전략실,7
프로세스개선팀,전략기획본부,운영개선실,7
인사전략팀,경영지원본부,HR운영실,7
인사지원팀,경영지원본부,HR운영실,7
감사기획팀,감사실,(본부 직속),7
화공품질안전팀,플랜트사업본부,화공수행실,6
건축수행2팀,건축사업본부,건축수행실,6
주택수행2팀,건축사업본부,주택인프라수행실,6
자산운영지원팀,자산관리사업본부,자산기획실,6
자산협력지원팀,자산관리사업본부,자산기획실,6
자산관리3팀,자산관리사업본부,자산사업실,6
주택CS팀,안전품질본부,품질혁신실,6
환경경영팀,안전품질본부,품질혁신실,6
이행점검팀,전략기획본부,운영개선실,6
비상계획팀,경영지원본부,비즈니스지원실,6
감사1팀,감사실,(본부 직속),6
감사2팀,감사실,(본부 직속),6
감사3팀,감사실,(본부 직속),6
연구전략팀,HMG건설기술연구원,연구기획실,6
SACE2팀,플랜트사업본부,(본부 직속),5
CS지원팀,안전품질본부,품질혁신실,5
로보틱스연구팀,HMG건설기술연구원,스마트건설연구실,5
NCCO팀,플랜트사업본부,(본부 직속),4
SPO1팀,플랜트사업본부,(본부 직속),4
에너지시운전팀,플랜트사업본부,에너지수행실,4
에너지품질안전팀,플랜트사업본부,에너지수행실,4
인사대기,경영지원본부,HR운영실,4
OSC연구팀,HMG건설기술연구원,건축주거연구실,4
수소에너지연구팀,HMG건설기술연구원,그린에너지연구실,4
원자력연구팀,HMG건설기술연구원,차세대에너지연구실,4
GOS1팀,플랜트사업본부,(본부 직속),3
SSHN2팀,플랜트사업본부,(본부 직속),3
화공시운전팀,플랜트사업본부,화공수행실,3
통합지원팀,HMG건설기술연구원,연구기획실,3
주거환경연구팀,HMG건설기술연구원,건축주거연구실,2
에너지수송저장연구팀,HMG건설기술연구원,그린에너지연구실,2
탄소포집활용연구팀,HMG건설기술연구원,그린에너지연구실,2
연구관리팀,HMG건설기술연구원,연구기획실,2
EOSE팀,플랜트사업본부,(본부 직속),1
STA1팀,플랜트사업본부,(본부 직속),1
자원순환연구팀,HMG건설기술연구원,차세대에너지연구실,1
